T	AX	AY	AZ	HX	HY	HZ	MX	MY	MZ	Temp	Move
75.768425	-1.13964	5.446809	-8.327033	0.36272255	-0.39068574	-0.20186761	-193.8	36.600002	-274.2	26.11876	none
75.77061	-1.1851299	5.3845596	-8.377312	0.3800331	-0.39760995	-0.19441076	-193.8	36.600002	-274.2	26.11876	none
75.77278	-1.1947067	5.3486466	-8.310274	0.3898868	-0.4082626	-0.18722023	-193.8	36.600002	-274.2	26.178661	none
75.77496	-1.1420342	5.327099	-8.154651	0.40586576	-0.41971418	-0.18056233	-193.20001	36.0	-271.2	26.172672	none
75.77715	-1.1300632	5.2289367	-7.9966335	0.42743737	-0.44821003	-0.18056233	-193.20001	36.0	-271.2	26.100788	none
75.779335	-1.1228806	5.2026005	-7.941567	0.4383563	-0.46259108	-0.17443706	-193.20001	36.0	-271.2	26.139725	none
75.78152	-1.0989386	5.116409	-7.7572136	0.44767737	-0.46871635	-0.17443706	-193.20001	36.0	-271.2	26.109774	none
75.78369	-1.1180922	5.0278234	-7.711724	0.4577974	-0.4673848	-0.17630127	-193.20001	36.0	-271.2	26.121754	none
75.78587	-1.079785	4.9919105	-7.6494746	0.46552056	-0.4577974	-0.17630127	-187.20001	38.4	-274.80002	26.14871	none
75.78806	-1.0390835	4.9583917	-7.5201874	0.4679174	-0.44714475	-0.17896444	-187.20001	38.4	-274.80002	26.22359	none
75.790245	-0.9983821	4.9536033	-7.398083	0.47324374	-0.44048685	-0.18455707	-187.20001	38.4	-274.80002	26.124748	none
75.79243	-0.92895025	4.9057193	-7.321469	0.4745753	-0.4394216	-0.18935075	-187.20001	38.4	-274.80002	26.178661	none
75.7946	-0.92176765	4.817134	-7.2448545	0.4745753	-0.4428837	-0.19787288	-191.40001	39.0	-274.2	26.190643	none
75.79679	-0.89543146	4.7907977	-7.2544312	0.46951532	-0.44687843	-0.20692763	-191.40001	39.0	-274.2	26.199629	none
75.79897	-0.842759	4.7165775	-7.16824	0.46871635	-0.45886266	-0.21385184	-191.40001	39.0	-274.2	26.187649	none
75.801155	-0.80684596	4.673482	-6.9862804	0.46525425	-0.4908206	-0.22503711	-191.40001	39.0	-274.2	26.211609	none
75.80334	-0.6967127	4.560954	-6.8641763	0.46232477	-0.49534798	-0.23648871	-191.40001	39.0	-274.2	26.172672	none
75.80551	-0.7158663	4.4939165	-6.801927	0.4575311	-0.49002165	-0.24367924	-187.20001	38.4	-276.0	26.169678	none
75.8077	-0.7493851	4.3861775	-6.715736	0.45220476	-0.46711847	-0.24873926	-187.20001	38.4	-276.0	26.208614	none
75.80988	-0.79248077	4.3598413	-6.8450227	0.44368264	-0.42983422	-0.2593919	-187.20001	38.4	-276.0	26.2176	none
75.812065	-0.82599956	4.3263226	-6.7731967	0.4346279	-0.36218992	-0.26818034	-187.20001	38.4	-276.0	26.127745	none
75.81425	-0.8355764	4.295198	-6.8402343	0.42290998	-0.31691617	-0.267914	-188.40001	39.600002	-277.2	26.166681	none
75.81644	-0.82360536	4.261679	-6.7205243	0.41225734	-0.2793656	-0.2759035	-188.40001	39.600002	-277.2	26.178661	none
75.81861	-0.8499416	4.249708	-6.6654577	0.4002731	-0.25379926	-0.27563718	-188.40001	39.600002	-277.2	26.163687	none
75.82079	-0.90500826	4.280833	-6.739678	0.39254996	-0.23116238	-0.27643612	-188.40001	39.600002	-277.2	26.163687	none
75.822975	-0.94570965	4.1922474	-6.6893997	0.37577203	-0.20772657	-0.272974	-188.40001	39.600002	-277.2	26.112768	none
75.825165	-1.0654198	4.235343	-6.7013707	0.36751625	-0.19707392	-0.27084348	-180.6	43.800003	-277.80002	26.181658	none
75.82735	-1.103727	4.2185836	-6.6846113	0.3568636	-0.18881813	-0.26977822	-180.6	43.800003	-277.80002	26.13673	none
75.82952	-1.079785	4.259285	-6.6893997	0.345412	-0.17976338	-0.26391926	-180.6	43.800003	-277.80002	26.157696	none
75.8317	-1.1923125	4.134786	-6.694188	0.33316147	-0.16431704	-0.25246766	-180.6	43.800003	-277.80002	26.154701	none
75.83389	-1.3120226	4.0438066	-6.76362	0.3158509	-0.12916331	-0.24314661	-180.6	43.800003	-277.80002	26.20562	none
75.836075	-1.3958195	3.916914	-6.7731967	0.3054646	-0.100933805	-0.23409186	-190.8	39.600002	-282.0	26.154701	none
75.83826	-1.42455	3.8594532	-6.8306575	0.29321405	-0.06791061	-0.22050974	-190.8	39.600002	-282.0	26.11876	none
75.84043	-1.4580688	3.787627	-6.919243	0.27670243	-0.048203215	-0.21118867	-190.8	39.600002	-282.0	26.145716	none
75.84261	-1.4915876	3.8307228	-6.9383965	0.2609898	-0.026897928	-0.19813919	-190.8	39.600002	-282.0	26.184652	none
75.8448	-1.4341269	3.7469256	-7.041347	0.24580978	-0.00958738	-0.1784318	-189.6	39.600002	-276.0	26.151707	none
75.846985	-1.4437037	3.691859	-7.1131735	0.23222765	-0.008255799	-0.16458336	-189.6	39.600002	-276.0	26.157696	none
75.84917	-1.4437037	3.6487634	-7.1371155	0.21758026	-0.014913702	-0.15286545	-189.6	39.600002	-276.0	26.163687	none
75.85134	-1.4460979	3.5769374	-7.1873937	0.20586236	-0.024501082	-0.14008227	-189.6	39.600002	-276.0	26.166681	none
75.85353	-1.4652514	3.5194764	-7.2807674	0.1917476	-0.041545313	-0.124902256	-189.6	39.600002	-276.0	26.145716	none
75.85571	-1.4700398	3.4117374	-7.299921	0.18615496	-0.061252706	-0.11025487	-184.8	40.800003	-276.0	26.13074	none
75.857895	-1.4772224	3.3399115	-7.3909006	0.16378441	-0.08335695	-0.09054748	-184.8	40.800003	-276.0	26.124748	none
75.86008	-1.400608	3.3566709	-7.393295	0.15579493	-0.09667275	-0.07590009	-184.8	40.800003	-276.0	26.145716	none
75.86227	-1.4149733	3.4452562	-7.381324	0.14753912	-0.11558119	-0.06391586	-184.8	40.800003	-276.0	26.169678	none
75.86443	-1.412579	3.4213142	-7.357382	0.13448964	-0.14008227	-0.052464273	-178.8	44.4	-278.40002	26.175667	none
75.86662	-1.400608	3.4859576	-7.3525934	0.123038046	-0.16484967	-0.039947417	-178.8	44.4	-278.40002	26.187649	none
75.868805	-1.400608	3.4859576	-7.314286	0.11105382	-0.20612867	-0.026631612	-178.8	44.4	-278.40002	26.178661	none
75.87099	-1.3742718	3.5098996	-7.374141	0.103064336	-0.23249397	-0.015978966	-178.8	44.4	-278.40002	26.145716	none
75.87316	-1.3910311	3.5075054	-7.357382	0.09267801	-0.26232138	-0.007190535	-178.8	44.4	-278.40002	26.166681	none
75.87535	-1.3575124	3.572149	-7.4507556	0.08069378	-0.28682247	0.0026631611	-184.8	40.800003	-277.2	26.20562	none
75.87753	-1.3814543	3.5673606	-7.465121	0.06870956	-0.2974751	0.007989483	-184.8	40.800003	-277.2	26.196632	none
75.879715	-1.4915876	3.6703112	-7.491457	0.05965481	-0.30493194	0.023169503	-184.8	40.800003	-277.2	26.181658	none
75.8819	-1.5227122	3.7588966	-7.536947	0.04580637	-0.30280143	0.029827405	-184.8	40.800003	-277.2	26.175667	none
75.88409	-1.6017209	3.8618474	-7.5800424	0.03834952	-0.30306774	0.035153728	-183.6	42.0	-278.40002	26.163687	none
75.88626	-1.6927006	3.9600096	-7.6351094	0.03089267	-0.3006709	0.041545313	-183.6	42.0	-278.40002	26.16069	none
75.88844	-1.7286136	4.0581717	-7.61835	0.023169503	-0.29374668	0.046871636	-183.6	42.0	-278.40002	26.193638	none
75.890625	-1.8124107	4.177882	-7.7213006	0.009321064	-0.27190876	0.05566007	-183.6	42.0	-278.40002	26.214603	none
75.89281	-1.8842367	4.2544966	-7.6949644	0.0013315806	-0.2559298	0.054594804	-183.6	42.0	-278.40002	26.22359	none
75.895	-1.946486	4.247314	-7.845799	-0.0031957934	-0.24101609	0.055926383	-180.0	43.2	-279.6	26.175667	none
75.89717	-2.0326772	4.307169	-7.809886	-0.009853696	-0.23409186	0.0561927	-180.0	43.2	-279.6	26.184652	none
75.89935	-2.087744	4.3981485	-7.8793178	-0.016245283	-0.2247708	0.052464273	-180.0	43.2	-279.6	26.163687	none
75.90154	-2.1930888	4.501099	-7.9607205	-0.018375812	-0.19920446	0.045007423	-180.0	43.2	-279.6	26.121754	none
75.903725	-2.3654714	4.510676	-7.9966335	-0.018109497	-0.18375812	0.040480047	-180.0	43.2	-279.6	26.154701	none
75.90591	-2.4971523	4.584896	-8.11395	-0.01917476	-0.1669802	0.029294772	-182.40001	43.2	-286.80002	26.193638	none
75.90808	-2.585738	4.6710877	-8.255207	-0.022370555	-0.14833808	0.015180019	-182.40001	43.2	-286.80002	26.133736	none
75.91026	-2.6719291	4.685453	-8.269572	-0.022370555	-0.13342437	-0.0018642128	-182.40001	43.2	-286.80002	26.172672	none
75.91245	-2.8491	4.745308	-8.295909	-0.02396845	-0.12010857	-0.022104237	-182.40001	43.2	-286.80002	26.14272	none
75.914635	-3.052607	4.8027687	-8.444349	-0.02263687	-0.1025317	-0.05672533	-187.20001	49.2	-282.0	26.178661	none
75.91682	-3.193865	4.876989	-8.528147	-0.01571265	-0.09134643	-0.077231675	-187.20001	49.2	-282.0	26.061852	none
75.91899	-3.2393548	4.8937483	-8.588001	-0.008788432	-0.083889574	-0.105993815	-187.20001	49.2	-282.0	26.121754	none
75.92118	-3.265691	5.020641	-8.619126	0.0	-0.0777643	-0.13901702	-187.20001	49.2	-282.0	26.11876	none
75.92336	-3.1675289	5.085284	-8.590396	0.009853696	-0.082025364	-0.17070863	-187.20001	49.2	-282.0	26.112768	none
75.925545	-3.1531637	5.1786585	-8.537724	0.026365295	-0.10013486	-0.2247708	-186.0	43.2	-279.6	26.202623	none
75.92773	-3.1244333	5.197812	-8.453926	0.032756884	-0.11717909	-0.26418558	-186.0	43.2	-279.6	26.220594	none
75.9299	-3.0909145	5.2768207	-8.463503	0.050600063	-0.13608754	-0.3054646	-186.0	43.2	-279.6	26.166681	none
75.93209	-3.083732	5.305551	-8.396465	0.064182185	-0.15286545	-0.34860778	-186.0	43.2	-279.6	26.175667	none
75.93427	-3.0262709	5.279215	-8.360553	0.07403588	-0.15845808	-0.3901531	-184.8	44.4	-280.80002	26.115765	none
75.936455	-2.9831753	5.257667	-8.334216	0.09187906	-0.14008227	-0.45593318	-184.8	44.4	-280.80002	26.154701	none
75.93864	-2.9592333	5.2361193	-8.429984	0.104928546	-0.123836994	-0.49801114	-184.8	44.4	-280.80002	26.175667	none
75.94083	-2.896984	5.2049947	-8.4108305	0.11851067	-0.103863284	-0.5454154	-184.8	44.4	-280.80002	26.187649	none
75.943	-2.9041667	5.207389	-8.535329	0.13528858	-0.091080114	-0.58909124	-184.8	44.4	-280.80002	26.214603	none
75.94518	-2.8921957	5.2049947	-8.571242	0.14514229	-0.08362326	-0.6359629	-174.6	34.2	-292.2	26.202623	none
75.947365	-2.834735	5.1690817	-8.611943	0.165116	-0.096939065	-0.7126619	-174.6	34.2	-292.2	26.163687	none
75.949554	-2.7820623	5.1140146	-8.652645	0.17656758	-0.11424961	-0.7603325	-174.6	34.2	-292.2	26.193638	none
75.95174	-2.6839	5.0661306	-8.525752	0.19387813	-0.13635385	-0.8133294	-174.6	34.2	-292.2	26.145716	none
